Start Date,Profit,Cash,Stock,Total Trades
2025-11-17,227970.29871993326,3738970.2987199323,6489000.0,1651
2025-11-18,420756.53273878805,5075756.532738789,5345000.0,1756
2025-11-19,513592.60543206707,6085592.605432069,4428000.0,311
2025-11-20,316397.24046157114,6164847.240461571,4151550.0,823
2025-11-21,474781.6373754833,6110331.637375482,4364450.0,171
2025-11-24,631056.7337034326,6163056.733703433,4468000.0,1322
2025-11-25,563827.906028159,6115827.906028157,4448000.0,1524
2025-11-26,409512.36300395057,6072712.363003952,4336800.0,133
2025-11-27,485334.1681827251,6050734.168182727,4434600.0,604
2025-11-28,604581.7179876994,6053281.717987699,4551300.0,141
2025-12-01,727522.5583962612,6039722.558396261,4687800.0,119
2025-12-02,642036.074800469,6074436.07480047,4567600.0,116
2025-12-03,577280.5050105006,6129880.5050105,4447400.0,159
2025-12-04,876326.6496611983,6902126.649661198,3974200.0,165
2025-12-05,813905.7184597701,6711505.71845977,4102400.0,318
2025-12-08,1155680.6004226897,6155280.60042269,5000400.0,1472
2025-12-09,1174026.243726937,6148426.243726938,5025600.0,1004
2025-12-10,1238309.498054836,6201909.498054835,5036400.0,802
2025-12-11,1121008.7408437524,6117008.740843753,5004000.0,1374
2025-12-12,1176703.684795346,6172703.684795346,5004000.0,860
2025-12-15,1120419.5693714041,6145219.569371404,4975200.0,230
2025-12-16,1313058.352275841,6144158.35227584,5168900.0,295
2025-12-17,1407742.9292223826,6087142.929222384,5320600.0,245
2025-12-18,1523273.7622143347,6036173.762214335,5487100.0,261
2025-12-19,1516972.39704106,6029872.39704106,5487100.0,261
2025-12-22,1338681.4519309178,5181481.451930917,6157200.0,306
2025-12-23,1281558.4888854586,6064808.488885459,5216750.0,211
2025-12-24,1380838.4821496978,6043338.482149697,5337500.0,259
2025-12-26,1234849.5196840763,6083849.519684076,5151000.0,262
2025-12-29,1339447.7110062763,6102347.711006278,5237100.0,253
